,,,,,,
,,,,,,
,,,,,,
,,"""Cría cuervos y te sacarán los ojos""","""Breed crows and they will gouge your eyes out""","""Cría cuervos y te sacarán los ojos""","""Cría cuervos y te sacarán los ojos""","""Cría cuervos y te sacarán los ojos"""
,,"""Agua que no has de beber, déjala correr""","""Don't take that which is not rightly yours""","""No tomes lo que no es tuyo""","""No tomes lo que no es tuyo""","""No tomes lo que no es tuyo"""
,,"""No es oro todo lo que reluce""","""All that glitters is not gold""","""Todo lo que brilla no es oro""","""No es oro todo lo que reluce""","""Todo lo que brilla no es oro"""
,,"""A falta de pan buenas son tortas""","""Half a loaf is better than none""","""Medio pan es mejor que nada""","""Medio pan es mejor que nada""","""Medio pan es mejor que nada"""
,,"""Vísteme despacio que tengo prisa""","""Haste makes waste""","""La prisa hace el desperdicio""","""La prisa hace que se pierda""","""La prisa hace el desperdicio"""
,,"""Siempre pagan justos por pecadores""","""It's always the innocents who pay""","""Siempre son los inocentes los que pagan""","""Siempre son los inocentes los que pagan""","""Siempre son los inocentes los que pagan"""
,,"""Por un perro que maté, mataperros me llamaron""","""I have one little drink and you call me an alcoholic""","""Tengo una pequeña bebida y me llamas alcohólica""","""Me tomo una copita y me llamas alcohólico""","""Me tomo una copita y me llamas alcohólico"""
,,"""El que con niños se acuesta, meado se levanta""","""If you lie down with dogs, you'll wake up with fleas""","""Si te acuestas con perros, amanecerás con pulgas""","""Si te acuestas con perros, amanecerás con pulgas""","""Si te acuestas con perros, amanecerás con pulgas"""
,,"""Otorgarle a alguien el beneficio de la duda""","""Give someone the benefit of the doubt""","""Dar el beneficio de la duda""","""Dar el beneficio de la duda""","""Dar el beneficio de la duda"""
,,"""No tiene mucha ciencia""","""It's not rocket science""","""No es una ciencia exacta""","""No es una ciencia espacial""","""No es ciencia espacial"""
,,"""En pocas palabras""","""Make a long story short""","""Haz una larga historia corta""","""Resumir una larga historia""","""Abre una larga historia"""
,,"""Perder el tren""","""Miss the boat""","""Perder el bote""","""Perder el bote""","""Echa de menos el barco"""
,,"""El que algo quiere, algo le cuesta""","""No pain, no gain""","""Sin dolor no hay ganancia""","""Sin dolor no hay ganancia""","""Sin esfuerzo no hay recompensa"""
,,"""Hacer un buen trabajo""","""On the ball""","""En la bola""","""En la bola""","""Mantener el ojo en la bola"""
,,"""Por ahora, todo va bien""","""So far so good""","""Hasta ahora tan buena""","""Hasta aquí todo bien""","""Hasta aquí todo bien"""
,,"""Y que lo digas, vaya que sí""","""You can say that again""","""Puedes decir eso de nuevo""","""Puedes decir eso de nuevo""","""Y que lo digas"""
,,"""Vete tú a saber""","""Your guess is as good as mine""","""Tu invitado es tan bueno como el mío""","""Su suposición es tan buena como la mía""","""Ni la más pálida idea"""
,,"""El peor escenario posible""","""A perfect storm""","""Una tormenta perfecta""","""Una tormenta perfecta""","""Una tormenta perfecta"""
,,"""Dinero ahorrado, dos veces ganado""","""A penny saved is a penny earned""","""Un centavo guardado es un centavo ganado""","""Un céntimo ahorrado es un céntimo ganado""","""Un centavo guardado es un centavo ganado"""
,,"""Para colmo de males""","""Add insult to injury""","""Añadir sal a la herida""","""Añadir insulto a la herida""","""Añadir insulto a la herida"""
,,"""Ir muy desencaminado""","""Barking up the wrong tree""","""Ladrando al árbol equivocado""","""Ladrando al árbol equivocado""","""Ladrando al árbol equivocado"""
,,"""No vendas la piel del oso antes de cazarlo""","""Don't count your chickens before they hatch""","""No cuentes tus pollos antes de que nazcan""","""No cuentes tus pollos antes de que nazcan""","""No cuentes tus pollos antes de que eclosionen"""
,,"""No te lo juegues todo a una sola carta""","""Don't put all your eggs in one basket""","""No pongas todos los huevos en una sola canasta""","""No pongas todos los huevos en una sola canasta""","""No pongas todos los huevos en una sola canasta"""
,,"""Probar su propia medicina""","""Get a taste of your own medicine""","""Prueba tu propia medicina""","""Prueba tu propia medicina""","""Prueba tu propia medicina"""
,,"""Hacerle el vacío a alguien""","""Give someone the cold shoulder""","""Dale a alguien la frialdad""","""Dar a alguien la espalda""","""Dar a alguien el hombro frío"""
,,"""Buscar una aguja en un pajar""","""Go on a wild goose chase""","""Ve a la caza de un ganso salvaje""","""Ve a la caza de un ganso salvaje""","""Ve a la caza de un ganso salvaje"""
,,"""Lo bueno se hace esperar""","""Good things come to those who wait""","""Las cosas buenas vienen a aquellos que esperan""","""Las cosas buenas vienen a aquellos que esperan""","""Las cosas buenas vienen a aquellos que esperan"""
,,"""La ignorancia da la felicidad""","""Ignorance is bliss""","""La ignorancia es grata""","""La ignorancia es una bendición""","""La ignorancia es bienaventuranza"""
,,"""Habló quien pudo""","""It takes one to know one""","""Que toma uno para conocer uno""","""Se necesita uno para conocer a otro""","""Se necesita uno para conocer a uno"""
,,"""Está lloviendo a cántaros""","""It's raining cats and dogs""","""Llueve a cántaros""","""Llueve a cántaros""","""Está lloviendo gatos y perros"""
,,"""En la cuerda floja""","""On thin ice""","""Sobre hielo fino""","""Sobre hielo fino""","""Sobre hielo fino"""
,,"""De higos a brevas""","""Once in a blue moon""","""Muy raramente""","""Una vez en la luna azul""","""Una vez en la luna azul"""
,,"""Irse de la lengua""","""Spill the beans""","""Descubrir el pastel""","""Suelta la lengua""","""Suelta la sopa"""
,,"""El mar está lleno de peces""","""There are other fish in the sea""","""Hay otros peces en el mar""","""Hay otros peces en el mar""","""Hay otros peces en el mar"""
,,"""Lanzarse a la piscina""","""Throw caution to the wind""","""Tira la precaución al viento""","""Tira la precaución al viento""","""Tira la precaución al viento"""
,,"""No se puede estar en misa y repicando""","""You can't have your cake and eat it too""","""No puedes tener tu pastel y comértelo también""","""No puedes tener tu pastel y comértelo también""","""No puedes tener tu pastel y comértelo también"""
,,"""La curiosidad mató al gato""","""Curiosity killed the cat""","""La curiosidad mató al gato""","""La curiosidad mató al gato""","""La curiosidad mató al gato"""
,,"""Dar la talla""","""Cut the mustard""","""Cortar la mostaza""","""Cortar la mostaza""","""Cortar la mostaza"""
,,"""Estar en la inopia""","""Have your head in the clouds""","""Tener la cabeza en las nubes""","""Tener la cabeza en las nubes""","""Tener la cabeza en las nubes"""
,,"""Le falta un hervor""","""He is not playing with a full deck""","""Él no está jugando con un mazo completo""","""Él no está jugando con la baraja completa""","""Él no está jugando con la baraja completa"""
,,"""Subirse al carro""","""Jump on the bandwagon""","""Seguir la corriente""","""Súbete al carro""","""Súbete al carro"""
,,"""En el séptimo cielo""","""On cloud nine""","""En la novena nube""","""En el séptimo cielo""","""En la nube nueve"""
,,"""Estar hasta el cuello""","""Snowed under""","""Nevado debajo""","""Nevado debajo""","""Nevado debajo"""
,,"""Capear el temporal""","""Weather the storm""","""Clima de tormenta""","""Capear el temporal""","""Capea la tormenta"""
,,"""Correr como alma que lleva al diablo""","""Run like the wind""","""Correr como el viento""","""Correr como el viento""","""Correr como el viento"""
,,"""Saber por dónde van los tiros""","""Know which way the wind is blowing""","""Saber hacia dónde sopla el viento""","""Saber en qué dirección sopla el viento""","""Saber en qué dirección sopla el viento"""
,,"""Cobrar nuevo impulso""","""Get a second wind""","""Conseguir un segundo aire""","""Conseguir un segundo aire""","""Conseguir un segundo aire"""
